clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
6-5-2,1056,0.92,Astro-NT_NN,high,0.82,ASCNT9,medium,0.62,ASCTENT,medium,0.68,NN,high,1,NN,high,1
6-5-5,73,0.82,Tanycyte_NN,medium,0.7,TANY4,medium,0.7,EPTANN,medium,0.7,NN,high,0.97,NN,high,0.97
6-5-4,83,0.9,Ependymal_NN,high,0.93,EPEN6,high,0.93,EPTANN,high,0.93,NN,high,0.94,NN,high,0.94
6-5-3,179,0.93,Astro-NT_NN,high,0.97,ASCNT9,high,0.97,ASCTENT,high,0.97,NN,high,1,NN,high,1
6-6-1,1182,0.72,Ependymal_NN,high,0.99,EPEN1,high,0.95,EPTANN,high,1,NN,high,1,NN,high,1
6-6-2,1006,0.82,Ependymal_NN,high,1,EPEN2,high,0.79,EPTANN,high,1,NN,high,1,NN,high,1
6-6-4,97,0.84,Ependymal_NN,high,0.96,EPEN4,high,0.93,EPTANN,high,0.97,NN,high,1,NN,high,1
6-6-3,195,0.97,Ependymal_NN,high,1,EPEN3,high,0.99,EPTANN,high,1,NN,high,1,NN,high,1
6-7-4,27,0.23,Tanycyte_NN,medium,0.59,TANY2,medium,0.52,EPTANN,medium,0.59,NN,high,1,NN,high,1
6-7-2,480,0.97,Tanycyte_NN,high,0.85,TANY2,high,0.71,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-5,71,0.96,Tanycyte_NN,high,0.97,TANY2,high,0.97,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-1,682,0.96,Tanycyte_NN,high,0.96,TANY1,high,0.88,EPTANN,high,0.97,NN,high,1,NN,high,1
6-7-3,283,0.96,Tanycyte_NN,high,0.98,TANY3,high,0.9,EPTANN,high,0.98,NN,high,1,NN,high,1
6-7-6,63,0.86,Tanycyte_NN,high,0.92,TANY2,high,0.81,EPTANN,high,0.95,NN,high,1,NN,high,1
6-8-2,142,0.97,Bergmann_NN,high,0.99,BERG1,high,0.99,BERG,high,0.99,NN,high,1,NN,high,1
6-8-1,1491,0.99,Bergmann_NN,high,1,BERG1,high,0.99,BERG,high,0.99,NN,high,1,NN,high,1
6-9-1,287,0.75,CHOR_NN,high,0.98,CHOR1,high,0.98,CHOR,high,0.98,NN,high,1,NN,high,1
6-9-2,283,0.87,CHOR_NN,high,1,CHOR1,high,1,CHOR,high,1,NN,high,1,NN,high,1
6-9-3,231,0.72,CHOR_NN,high,0.99,CHOR1,high,0.99,CHOR,high,0.99,NN,high,0.99,NN,high,0.99
7-1-1,12131,0.94,L2-3_IT_ENTl-PIR_Glut,high,0.98,OLFGL2,medium,0.54,ITENTPIRGL1,high,1,Glut,high,1,GLUT,high,1
